"DISEASE.TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk_d * 100"
"1732"	"Urinary albumin-to-creatinine ratio"	22	13	9	62.8571428571429
"1733"	"Urinary albumin-to-creatinine ratio in non-diabetics"	3	3	0	50
"1734"	"Urinary albumin excretion"	5	3	2	62.5
"1735"	"Urinary albumin excretion (no hypertensive medication)"	3	2	1	60
"1736"	"Urinary bladder cancer"	4	1	3	80
"1737"	"Urinary electrolytes (magnesium/calcium ratio)"	1	1	0	50
"1738"	"Urinary magnesium excretion"	1	1	0	50
"1739"	"Urinary metabolite levels in chronic kidney disease"	27	10	17	72.972972972973
"1740"	"Urinary metabolite modules (eigenmetabolites) in chronic kidney disease"	6	1	5	85.7142857142857
"1741"	"Urinary metabolite ratios in chronic kidney disease"	7	7	0	50
"1742"	"Urinary metabolites"	3	1	2	75
"1743"	"Urinary metabolites (H-NMR features)"	35	10	25	77.7777777777778
"1744"	"Urinary potassium excretion"	2	2	0	50
"1745"	"Urinary potassium to creatinine ratio"	1	0	1	100
"1746"	"Urinary sodium excretion"	8	5	3	61.5384615384615
"1747"	"Urinary sodium to creatinine ratio"	2	0	2	100
"1748"	"Urinary sodium to potassium ratio"	1	0	1	100
"1749"	"Urinary uromodulin levels"	1	0	1	100
"1750"	"Urine pH measurement"	1	1	0	50
"1751"	"Urokinase plasminogen activator surface receptor levels"	1	0	1	100
"1752"	"Urolithiasis"	1	1	0	50
"1753"	"Uterine fibroid size (maximum volume)"	1	1	0	50
"1754"	"Uterine fibroids"	8	4	4	66.6666666666667
"1755"	"Uveal melanoma"	1	1	0	50
"1756"	"Uveal melanoma (TNM stage 3 or 4)"	1	1	0	50
"1757"	"Vaccenic acid (18:1n-7) levels"	2	2	0	50
"1758"	"Varicose veins"	4	1	3	80
"1759"	"Vascular dementia"	1	0	1	100
"1760"	"Vascular endothelial growth factor levels"	3	1	2	75
"1761"	"Vaspin levels"	1	1	0	50
"1762"	"Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 12 weeks)"	1	1	0	50
"1763"	"Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)"	1	1	0	50
"1764"	"Venous thromboembolism"	19	16	3	54.2857142857143
"1765"	"Ventricular ectopy"	1	1	0	50
"1766"	"Verbal declarative memory"	8	3	5	72.7272727272727
"1767"	"Vertical cup-disc ratio"	24	20	4	54.5454545454545
"1768"	"Vertical cup-disc ratio (adjusted for vertical disc diameter)"	14	7	7	66.6666666666667
"1769"	"Vertical cup-disc ratio (multi-trait analysis)"	10	6	4	62.5
"1770"	"Very long-chain saturated fatty acid levels (fatty acid 20:0)"	4	1	3	80
"1771"	"Very long-chain saturated fatty acid levels (fatty acid 22:0)"	1	0	1	100
"1772"	"Very long-chain saturated fatty acid levels (fatty acid 24:0)"	2	0	2	100
"1773"	"Vigorous physical activity"	2	1	1	66.6666666666667
"1774"	"Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia"	1	1	0	50
"1775"	"Visceral adipose tissue adjusted for BMI"	14	9	5	60.8695652173913
"1776"	"Visceral adipose tissue/subcutaneous adipose tissue ratio"	14	12	2	53.8461538461539
"1777"	"Visceral adipose tissue/subcutaneous adipose tissue ratio adjusted for BMI"	1	1	0	50
"1778"	"Visceral fat"	13	3	10	81.25
"1779"	"Vitamin B levels in ischemic stroke"	3	1	2	75
"1780"	"Vitamin B12 levels"	3	3	0	50
"1781"	"Vitamin D levels"	7	4	3	63.6363636363636
"1782"	"Vitamin D levels (dietary vitamin D intake interaction)"	1	0	1	100
"1783"	"Vitamin E levels"	1	1	0	50
"1784"	"Vitiligo"	25	17	8	59.5238095238095
"1785"	"Vogt-Koyanagi-Harada syndrome"	1	0	1	100
"1786"	"vWF and FVIII levels"	1	1	0	50
"1787"	"vWF levels"	1	1	0	50
"1788"	"vWF levels in ischaemic stroke and hyperhomocysteinaemia"	1	1	0	50
"1789"	"Waist-hip ratio"	187	103	84	64.4827586206897
"1790"	"Waist-to-hip circumference ratio (ever vs never smoking interaction)"	1	0	1	100
"1791"	"Waist-to-hip ratio adjusted for BMI"	108	56	52	65.8536585365854
"1792"	"Waist-to-hip ratio adjusted for BMI (additive genetic model)"	61	20	41	75.3086419753086
"1793"	"Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)"	62	32	30	65.9574468085106
"1794"	"Waist-to-hip ratio adjusted for BMI (age <50)"	5	3	2	62.5
"1795"	"Waist-to-hip ratio adjusted for BMI (age >50)"	8	6	2	57.1428571428571
"1796"	"Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction)"	29	17	12	63.0434782608696
"1797"	"Waist-to-hip ratio adjusted for BMI in active individuals"	30	15	15	66.6666666666667
"1798"	"Waist-to-hip ratio adjusted for BMI in inactive individuals"	2	1	1	66.6666666666667
"1799"	"Waist-to-hip ratio adjusted for BMI in non-smokers"	24	16	8	60
"1800"	"Waist-to-hip ratio adjusted for BMI in smokers"	1	1	0	50
"1801"	"Waist-to-hip ratio adjusted for BMI x sex interaction"	8	7	1	53.3333333333333
"1802"	"Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)"	27	13	14	67.5
"1803"	"Waist-to-hip ratio adjusted for body mass index"	201	98	103	67.2240802675585
"1804"	"Waist circumference"	59	35	24	62.7659574468085
"1805"	"Waist Circumference - Triglycerides (WC-TG)"	2	0	2	100
"1806"	"Waist circumference adjusted for BMI (adjusted for smoking behaviour)"	51	30	21	62.962962962963
"1807"	"Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)"	48	27	21	64
"1808"	"Waist circumference adjusted for BMI in active individuals"	89	46	43	65.9259259259259
"1809"	"Waist circumference adjusted for BMI in inactive individuals"	7	3	4	70
"1810"	"Waist circumference adjusted for BMI in non-smokers"	38	25	13	60.3174603174603
"1811"	"Waist circumference adjusted for BMI in smokers"	2	0	2	100
"1812"	"Waist circumference adjusted for body mass index"	171	90	81	65.5172413793103
"1813"	"Waist circumference and related phenotypes"	1	1	0	50
"1814"	"Walking pace"	5	2	3	71.4285714285714
"1815"	"Warfarin maintenance dose"	2	2	0	50
"1816"	"Weight"	18	11	7	62.0689655172414
"1817"	"Well-being spectrum (multivariate analysis)"	10	6	4	62.5
"1818"	"White blood cell count"	140	82	58	63.0630630630631
"1819"	"White blood cell count (basophil)"	7	4	3	63.6363636363636
"1820"	"White blood cell count (eosinophil)"	2	1	1	66.6666666666667
"1821"	"White blood cell count (lymphocyte)"	1	1	0	50
"1822"	"White blood cell count (monocyte)"	4	2	2	66.6666666666667
"1823"	"White blood cell count (neutrophil)"	2	0	2	100
"1824"	"White blood cell types"	12	4	8	75
"1825"	"White coat effect (clinic systolic blood pressure minus ambulatory systolic blood pressure)"	1	1	0	50
"1826"	"White matter hyperintensities"	2	1	1	66.6666666666667
"1827"	"White matter hyperintensity burden"	4	3	1	57.1428571428571
"1828"	"White matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy"	1	1	0	50
"1829"	"White matter lesion progression (adjusted for white matter lesion burden at baseline)"	1	1	0	50
"1830"	"Wilms tumor"	2	2	0	50
"1831"	"Word reading"	2	0	2	100
"1832"	"Word spelling"	2	0	2	100
"1833"	"Worry"	7	3	4	70
"1834"	"Worry too long after an embarrassing experience"	2	2	0	50
"1835"	"Youthful appearance (self-reported)"	10	5	5	66.6666666666667
"1836"	"Yu-Zhi constitution type in type 2 diabetes"	1	1	0	50
